"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.946709170E2,6.505542749E1,2.545811954E1,1.135365662E1,1.419999957E0,3.337000122E2,3.790092468E0,2.500000000E0
1.956705930E2,6.505543896E1,2.545810593E1,1.122974933E1,1.419999957E0,3.325000000E2,3.790092468E0,2.500000000E0
1.966702072E2,6.505545079E1,2.545809250E1,1.135938195E1,1.450000048E0,3.347000122E2,3.790092468E0,2.500000000E0
1.976701745E2,6.505546266E1,2.545807923E1,1.144714445E1,1.370000005E0,3.373999939E2,3.790092468E0,2.500000000E0
1.986705487E2,6.505547462E1,2.545806706E1,1.155730694E1,1.379999995E0,3.372000122E2,3.790092468E0,2.500000000E0
1.996703367E2,6.505548712E1,2.545805611E1,1.150560412E1,1.429999948E0,3.375000000E2,3.790092468E0,2.500000000E0
2.006706162E2,6.505550053E1,2.545804585E1,1.133366176E1,1.470000029E0,3.377000122E2,3.790092468E0,2.500000000E0
2.016706807E2,6.505551369E1,2.545803440E1,1.164108948E1,1.490000010E0,3.365000000E2,3.790092468E0,2.500000000E0
2.026703053E2,6.505552729E1,2.545802171E1,1.166232306E1,1.480000019E0,3.361000061E2,3.790092468E0,2.500000000E0
2.036700453E2,6.505554091E1,2.545801036E1,1.170485803E1,1.509999990E0,3.368999939E2,3.790092468E0,2.500000000E0
2.046707924E2,6.505555421E1,2.545799953E1,1.176857239E1,1.480000019E0,3.405000000E2,3.790092468E0,2.500000000E0
2.056704549E2,6.505556769E1,2.545798978E1,1.178162761E1,1.529999971E0,3.422000122E2,3.790092468E0,2.500000000E0
2.066702262E2,6.505558089E1,2.545798071E1,1.169257120E1,1.549999952E0,3.418999939E2,3.790092468E0,2.500000000E0
2.076703729E2,6.505559429E1,2.545797281E1,1.201074140E1,1.559999943E0,3.455000000E2,3.790092468E0,2.500000000E0
2.086702200E2,6.505560754E1,2.545796747E1,1.187133136E1,1.509999990E0,3.482999878E2,3.790092468E0,2.500000000E0
2.096700542E2,6.505562082E1,2.545796260E1,1.178654783E1,1.559999943E0,3.506000061E2,3.790092468E0,2.500000000E0
